error_message,recommended_action
TimeoutError: [Errno 110] Connection timed out,"Increase the timeout value in your request or check your network connectivity/firewall settings."
IndentationError: unindent does not match any outer indentation level,"Check the spacing of your return or control flow statements; they must align exactly with the opening statement of the block."
FloatingPointError: floating point exception,"Enable error checking in [numpy](https://numpy.org) using `np.seterr(all='raise')` to identify where invalid math is happening."
GeneratorExit: generator ignored GeneratorExit,"Ensure you are not performing long-running operations or nested yields inside a generator's `finally` block when it is being closed."
SystemError: parent module '' not loaded, cannot perform relative import,"Use absolute imports or ensure you are running your script as a module using the `-m` flag (e.g., `python -m my_package.my_script`)."
RuntimeError: generator raised StopIteration,"Check your [generator function](https://docs.python.org) for a return statement that is unintentionally triggering an early exit."
NotImplementedError: method not defined,"Define the required method in your subclass or ensure you are not calling an [abstract base class](https://docs.python.org) directly."
LookupError: unknown encoding: '{encoding}',"Verify the encoding string passed to [codecs.open()](https://docs.python.org) matches standard IANA names (e.g., 'utf-8', 'cp1252')."
BufferError: Object has exported buffers,"Release any existing [memoryview](https://docs.python.org) or buffer objects before attempting to resize or close the underlying data structure."
EOFError: EOF when reading a line,"Ensure the input stream is not empty or provide a default value when using [input()](https://docs.python.org) in non-interactive scripts."
BlockingIOError: [Errno 11] Resource temporarily unavailable,"Implement a retry mechanism or use [select.select()](https://docs.python.org) to wait until the non-blocking socket is ready for data."
ChildProcessError: [Errno 10] No child processes,"Verify the process ID (PID) exists before calling [os.wait()](https://docs.python.org) or check if the process has already been reaped."
ConnectionAbortedError: [Errno 103] Connection aborted by software,"Check for server-side timeouts or firewall rules that might be killing idle connections in your [socket](https://docs.python.org) logic."
FileExistsError: [Errno 17] File exists,"Use `os.makedirs(path, exist_ok=True)` or check if the destination file exists before attempting to [create a new one](https://docs.python.org)."
InterruptedError: [Errno 4] Interrupted system call,"Wrap system calls in a loop to restart them if a [signal handler](https://docs.python.org) interrupts the execution."
IsADirectoryError: [Errno 21] Is a directory,"Ensure the path passed to [open()](https://docs.python.org) points to a specific filename and not a folder path."
ProcessLookupError: [Errno 3] No such process,"Verify the PID is correct and that the process hasn't already terminated before sending a signal via [os.kill()](https://docs.python.org)."
ReferenceError: weak object read after garbage collection,"Check if the object being tracked by a [weakref](https://docs.python.org) is still in scope before attempting to access it."
SyntaxError: 'return' outside function,"Ensure all `return` statements are nested inside a `def` block; use `sys.exit()` if trying to end a script at the top level."
SyntaxError: 'yield' outside function,"Move the `yield` statement inside a function definition to correctly create a [generator](https://docs.python.org)."
SyntaxError: unexpected EOF while parsing,"Check for missing closing parentheses `)` or brackets `]` at the very end of your script file."
TypeError: '{type}' object is not callable,"Check for variable/function name collisions (e.g., naming a variable `list` and then trying to call `list()`)."
TypeError: missing X required positional arguments,"Verify the function signature and ensure you are passing all mandatory arguments during the [function call](https://docs.python.org)."
ValueError: too many values to unpack (expected X),"Ensure the number of variables on the left side of the assignment matches the length of the [iterable](https://docs.python.org)."
ModuleNotFoundError: No module named 'setuptools',"Install or upgrade the [setuptools](https://pypi.org) package to resolve build-time dependency issues."
ImportError: libX.so: cannot open shared object file,"Install the required system-level libraries (e.g., `apt-get install libx11-6`) that the Python module depends on."
KeyboardInterrupt: user interrupted execution,"Implement a `try...except KeyboardInterrupt:` block to [gracefully shut down](https://docs.python.org) resources when Ctrl+C is pressed."
SystemExit: 1,"Identify which part of the code is calling `sys.exit()` and review the exit code to determine the [nature of the failure](https://docs.python.org)."
TabError: inconsistent use of tabs and spaces in indentation,"Configure your editor to [show invisible characters](https://code.visualstudio.com) to find and replace stray tabs with spaces."
AssertionError: condition is false,"Debug the logic preceding the [assert statement](https://docs.python.org) to understand why the expected state was not met."
ArithmeticError: floating point error,"Use the [math.isfinite()](https://docs.python.org) function to check for NaN or Infinity values before performing complex math."
SyntaxError: illegal target for annotation,"Ensure you are not trying to annotate complex expressions; only simple [variable names](https://docs.python.org) can be annotated."
UnicodeEncodeError: 'ascii' codec can't encode characters,"Set the `PYTHONIOENCODING` environment variable to `utf-8` or use `.encode('utf-8')` before writing to a [restricted stream](https://docs.python.org)."
RuntimeError: dict changed size during iteration,"Create a list of keys using `list(my_dict.keys())` before looping if you need to [modify the dictionary](https://docs.python.org) while iterating."
AttributeError: module 'x' has no attribute 'y',"Check for [shadowing](https://docs.python.org) (e.g., you named your local file `pandas.py`, which is being imported instead of the real library)."
RuntimeError: Set changed size during iteration,"Create a [list()](https://docs.python.org) of the set before looping to avoid errors while adding or removing items."
PendingDeprecationError: {feature} will be removed,"Review the [Python Deprecation Cycle](https://docs.python.org) and update your code to use the newer alternative specified."
BufferError: object has exported buffers,"Release any existing [memoryview](https://docs.python.org) or buffer objects before attempting to modify the underlying data."
ImportError: cannot import name 'X' from partially initialized module 'Y',"Check for [Circular Imports](https://docs.python.org) where two files try to import from each other simultaneously."
ResourceWarning: unclosed file {file},"Use a [context manager](https://docs.python.org) (with open...) to ensure files are automatically closed after use."
FutureWarning: {method} is deprecated and will be removed in a future version,"Update your code to the recommended [Pandas](https://pandas.pydata.org) or Numpy function to maintain compatibility."
SyntaxError: f-string: missing '}',"Check your [f-string](https://docs.python.org) expressions for unclosed curly braces or syntax errors inside the expression."
TypeError: 'async for' requires an object with __aiter__ method,"Ensure the object you are iterating over is an [Asynchronous Iterator](https://docs.python.org)."
RuntimeError: cannot enter context manager more than once,"Review your [with statement](https://docs.python.org) logic; some objects cannot be reused as context managers."
StopAsyncIteration: Raised by __anext__ when iterator is exhausted,"Wrap your async loop logic in a try-except block or ensure the [async generator](https://docs.python.org) has data."
NotADirectoryError: [Errno 20] Not a directory: '{path}',"Verify that the path points to a folder and not a file when using functions like [os.listdir()](https://docs.python.org)."
IsADirectoryError: [Errno 21] Is a directory: '{path}',"Check that the path provided to [open()](https://docs.python.org) points to a file and not a directory."
ConnectionResetError: [Errno 104] Connection reset by peer,"Verify the server state and check for network timeouts using the [socket library](https://docs.python.org)."
FileExistsError: [Errno 17] File exists: '{path}',"Use `os.makedirs(path, exist_ok=True)` or delete the existing file before attempting to [re-create](https://docs.python.org) it."
ProcessLookupError: [Errno 3] No such process,"Verify the Process ID (PID) is still active before sending signals using [os.kill()](https://docs.python.org)."
ChildProcessError: [Errno 10] No child processes,"Ensure the process hasn't already been reaped by [os.wait()](https://docs.python.org) or check your subprocess logic."
BrokenPipeError: [Errno 32] Broken pipe,"Handle cases where the receiving process closes the stream before the sender is finished; use [signal.SIG_IGN](https://docs.python.org)."
InterruptedError: [Errno 4] Interrupted system call,"Restart the system call manually if a [signal handler](https://docs.python.org) interrupts it during execution."
AttributeError: module 'asyncio' has no attribute 'run',"Ensure you are using **Python 3.7+**; for older versions, use `get_event_loop().run_until_complete()` as per [Asyncio docs](https://docs.python.org)."
RuntimeError: Event loop is closed,"Avoid calling async functions after the loop has shut down; use [asyncio.run()](https://docs.python.org) for proper cleanup."
ValueError: signal only works in main thread,"Move signal-handling logic to the [Main Thread](https://docs.python.org) as background threads cannot trap OS signals."
TypeError: Object of type {type} is not JSON serializable,"Convert complex objects like Datetime or Sets into strings or lists before using [json.dumps()](https://docs.python.org)."
ImportError: cannot import name 'soft_unicode' from 'markupsafe',"Upgrade your [Jinja2](https://pypi.org) or MarkupSafe package to fix compatibility with newer Python versions."
SyntaxError: non-default argument follows default argument,"Rearrange your [function signature](https://docs.python.org) so all mandatory arguments come before optional ones."
RuntimeError: This event loop is already running,"Check for nested event loops; use [nest_asyncio](https://pypi.org) if you are running async code inside a Jupyter Notebook."
GeneratorExit: generator ignored GeneratorExit,"Ensure you are not catching the [GeneratorExit](https://docs.python.org) exception and continuing to yield values."
SystemError: error return without exception set,"Check for issues in **C-extensions** or compiled modules; ensure they are returning proper error states to the [Python Interpreter](https://docs.python.org)."
ModuleNotFoundError: No module named 'pip',"Reinstall or repair your [Python environment](https://pip.pypa.io) using `python -m ensurepip`."
TypeError: iteration over non-sequence of type {type},"Verify that the variable in your `for` loop is actually an [Iterable](https://docs.python.org) like a list or dictionary."
AssertionError: list indices must be integers or slices, not str,"Check if you are trying to access a **List** using a string key; verify if the variable should have been a **Dictionary**."
RuntimeError: Address already in use,"Check if another instance of your [Flask](https://flask.palletsprojects.com) or [FastAPI](https://fastapi.tiangolo.com) app is already running on the same port; kill the process or change the port."
AttributeError: 'module' object has no attribute 'X',"Check for [Circular Imports](https://docs.python.org) where two files try to import each other, or ensure your local filename doesn't shadow a library name."
TypeError: 'async for' requires an object with __aiter__ method,"Verify that the object you are iterating over is an [Asynchronous Iterator](https://docs.python.org) and not a standard list."
RuntimeError: Generator raised StopIteration,"Ensure your [generator function](https://docs.python.org) does not contain a `return` statement that unintentionally triggers an exit in a `next()` call."
ImportError: cannot import name 'soft_unicode' from 'markupsafe',"Upgrade your [Jinja2](https://pypi.org) or [MarkupSafe](https://pypi.org) package to resolve compatibility issues with newer Python versions."
SyntaxError: non-default argument follows default argument,"Rearrange your [function signature](https://docs.python.org) so all mandatory arguments (without `=` values) come before the optional ones."
ValueError: signal only works in main thread,"Move any [signal handling](https://docs.python.org) logic to the application's Main Thread, as background threads cannot trap OS signals."
RuntimeError: This event loop is already running,"Check for nested event loops; if using Jupyter, install and use [nest_asyncio](https://pypi.org) to allow nested calls."
TypeError: Object of type {type} is not JSON serializable,"Convert custom objects, [Datetime](https://docs.python.org) objects, or Sets into strings or lists before passing them to [json.dumps()](https://docs.python.org)."
BlockingIOError: [Errno 11] Resource temporarily unavailable,"Implement a retry loop or use [select.select()](https://docs.python.org) to wait until the non-blocking socket is ready for data transfer."
ConnectionAbortedError: [Errno 103] Software caused connection abort,"Check for server-side timeouts or firewall rules killing idle connections in your [socket](https://docs.python.org) or database logic."
IsADirectoryError: [Errno 21] Is a directory: '{path}',"Ensure the path passed to [open()](https://docs.python.org) points to a specific file and not just a folder path."
ProcessLookupError: [Errno 3] No such process,"Verify the Process ID (PID) is still active before sending signals like [SIGTERM](https://docs.python.org#module-signal) via [os.kill()](https://docs.python.org)."
StopAsyncIteration: Raised by __anext__ when iterator is exhausted,"Wrap your async loop in a try-except block or ensure the [async generator](https://docs.python.org) has sufficient data."
NotADirectoryError: [Errno 20] Not a directory: '{path}',"Verify that the path points to an actual folder when using directory-traversal functions like [os.listdir()](https://docs.python.org)."
ChildProcessError: [Errno 10] No child processes,"Ensure the child process hasn't already been reaped or terminated before calling [os.wait()](https://docs.python.org)."
BrokenPipeError: [Errno 32] Broken pipe,"Handle cases where the receiving process closes the stream; check [subprocess.PIPE](https://docs.python.org) communication logic."
ResourceWarning: unclosed file <_io.TextIOWrapper>,"Use a [with statement](https://docs.python.org) to ensure file descriptors are automatically released after the block finishes."
FutureWarning: {method} is deprecated,"Update your [Pandas](https://pandas.pydata.org) or [NumPy](https://numpy.org) code to the suggested modern method to maintain future compatibility."
ImportError: libX11.so.6: cannot open shared object file,"Install missing system dependencies via [apt-get install](https://manpages.ubuntu.com) or verify your Docker container includes required GUI libraries."
RuntimeError: dictionary changed size during iteration,"Iterate over a copy of the dictionary keys using `list(my_dict.keys())` if you need to [delete or add](https://docs.python.org) items while looping."
SyntaxError: 'yield' outside function,"Verify that the `yield` keyword is placed within a `def` block to create a [Generator](https://docs.python.org)."
SystemError: parent module '' not loaded,"Run the script using the `-m` flag (e.g., `python -m my_package.script`) to correctly handle [Relative Imports](https://docs.python.org)."
AssertionError: list indices must be integers or slices, not str,"Check if you are accidentally treating a **List** like a **Dictionary**; verify the data structure using `type(my_var)`."
MemoryError: Unable to allocate GiB,"Process heavy files line-by-line or use the `chunksize` parameter in [Pandas read_csv](https://pandas.pydata.orgreference/api/pandas.read_csv.html) to lower RAM usage."
TypeError: 'NoneType' object is not iterable,"Check if the preceding function returned `None` due to a failure; add a [Null Check](https://docs.python.org) before starting the loop."
KeyboardInterrupt,"Catch this exception with a `try...except` block to [safely close](https://docs.python.org) database connections or log files when a user hits Ctrl+C."
OverflowError: integer too large to convert to float,"Use the [decimal.Decimal](https://docs.python.org) class for high-precision math when dealing with numbers that exceed standard float limits."
SyntaxError: f-string: empty expression not allowed,"Ensure your [f-string](https://docs.python.org) curly braces `{}` contain a valid variable or expression."
